surfactant,temperature_(degC),composition_(wt%),observed_phase,tail_length_calculated_(A),tail_volume_calculated_(A^3),head_area_calculated_(A^2),AL/V_calculated,shape_identifier_(0-L/1-V/2-Y)
C8E6,25,0,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.05,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.1,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.15,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,25,1,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.05,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.1,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.15,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,30,1,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.05,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.1,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.15,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,35,1,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.05,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.1,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.15,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,40,1,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.05,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.1,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.15,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,45,1,L2,11.19,243.2,44.3,2.04,0
C8E6,50,0,L1,11.19,243.2,44.3,2.04,0
C8E6,50,0.05,L1,11.19,243.2,44.3,2.04,0
C8E6,50,0.1,L1,11.19,243.2,44.3,2.04,0
C8E6,50,0.15,L1,11.19,243.2,44.3,2.04,0
C8E6,50,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,50,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,50,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,50,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,50,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,50,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,50,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,50,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,50,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,50,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,50,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,50,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,50,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,50,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,50,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,50,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,50,1,L2,11.19,243.2,44.3,2.04,0
C8E6,55,0,L1,11.19,243.2,44.3,2.04,0
C8E6,55,0.05,L1,11.19,243.2,44.3,2.04,0
C8E6,55,0.1,L1,11.19,243.2,44.3,2.04,0
C8E6,55,0.15,L1,11.19,243.2,44.3,2.04,0
C8E6,55,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,55,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,55,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,55,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,55,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,55,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,55,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,55,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,55,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,55,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,55,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,55,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,55,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,55,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,55,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,55,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,55,1,L2,11.19,243.2,44.3,2.04,0
C8E6,60,0,L1,11.19,243.2,44.3,2.04,0
C8E6,60,0.05,L1,11.19,243.2,44.3,2.04,0
C8E6,60,0.1,L1,11.19,243.2,44.3,2.04,0
C8E6,60,0.15,L1,11.19,243.2,44.3,2.04,0
C8E6,60,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,60,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,60,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,60,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,60,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,60,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,60,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,60,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,60,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,60,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,60,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,60,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,60,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,60,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,60,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,60,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,60,1,L2,11.19,243.2,44.3,2.04,0
C8E6,65,0,L1,11.19,243.2,44.3,2.04,0
C8E6,65,0.05,L1,11.19,243.2,44.3,2.04,0
C8E6,65,0.1,L1,11.19,243.2,44.3,2.04,0
C8E6,65,0.15,L1,11.19,243.2,44.3,2.04,0
C8E6,65,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,65,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,65,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,65,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,65,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,65,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,65,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,65,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,65,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,65,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,65,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,65,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,65,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,65,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,65,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,65,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,65,1,L2,11.19,243.2,44.3,2.04,0
C8E6,70,0,L1,11.19,243.2,44.3,2.04,0
C8E6,70,0.05,Water + L,11.19,243.2,44.3,2.04,0
C8E6,70,0.1,L1,11.19,243.2,44.3,2.04,0
C8E6,70,0.15,L1,11.19,243.2,44.3,2.04,0
C8E6,70,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,70,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,70,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,70,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,70,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,70,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,70,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,70,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,70,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,70,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,70,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,70,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,70,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,70,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,70,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,70,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,70,1,L2,11.19,243.2,44.3,2.04,0
C8E6,75,0,Water + L,11.19,243.2,44.3,2.04,0
C8E6,75,0.05,Water + L,11.19,243.2,44.3,2.04,0
C8E6,75,0.1,Water + L,11.19,243.2,44.3,2.04,0
C8E6,75,0.15,Water + L,11.19,243.2,44.3,2.04,0
C8E6,75,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,75,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,75,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,75,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,75,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,75,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,75,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,75,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,75,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,75,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,75,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,75,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,75,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,75,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,75,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,75,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,75,1,L2,11.19,243.2,44.3,2.04,0
C8E6,80,0,Water + L,11.19,243.2,44.3,2.04,0
C8E6,80,0.05,Water + L,11.19,243.2,44.3,2.04,0
C8E6,80,0.1,Water + L,11.19,243.2,44.3,2.04,0
C8E6,80,0.15,Water + L,11.19,243.2,44.3,2.04,0
C8E6,80,0.2,Water + L,11.19,243.2,44.3,2.04,0
C8E6,80,0.25,Water + L,11.19,243.2,44.3,2.04,0
C8E6,80,0.3,Water + L,11.19,243.2,44.3,2.04,0
C8E6,80,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,80,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,80,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,80,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,80,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,80,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,80,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,80,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,80,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,80,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,80,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,80,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,80,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,80,1,L2,11.19,243.2,44.3,2.04,0
C8E6,85,0,Water + L,11.19,243.2,44.3,2.04,0
C8E6,85,0.05,Water + L,11.19,243.2,44.3,2.04,0
C8E6,85,0.1,Water + L,11.19,243.2,44.3,2.04,0
C8E6,85,0.15,Water + L,11.19,243.2,44.3,2.04,0
C8E6,85,0.2,Water + L,11.19,243.2,44.3,2.04,0
C8E6,85,0.25,Water + L,11.19,243.2,44.3,2.04,0
C8E6,85,0.3,Water + L,11.19,243.2,44.3,2.04,0
C8E6,85,0.35,Water + L,11.19,243.2,44.3,2.04,0
C8E6,85,0.4,Water + L,11.19,243.2,44.3,2.04,0
C8E6,85,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,85,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,85,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,85,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,85,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,85,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,85,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,85,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,85,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,85,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,85,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,85,1,L2,11.19,243.2,44.3,2.04,0
C8E6,90,0,Water + L,11.19,243.2,44.3,2.04,0
C8E6,90,0.05,Water + L,11.19,243.2,44.3,2.04,0
C8E6,90,0.1,Water + L,11.19,243.2,44.3,2.04,0
C8E6,90,0.15,Water + L,11.19,243.2,44.3,2.04,0
C8E6,90,0.2,Water + L,11.19,243.2,44.3,2.04,0
C8E6,90,0.25,Water + L,11.19,243.2,44.3,2.04,0
C8E6,90,0.3,Water + L,11.19,243.2,44.3,2.04,0
C8E6,90,0.35,Water + L,11.19,243.2,44.3,2.04,0
C8E6,90,0.4,Water + L,11.19,243.2,44.3,2.04,0
C8E6,90,0.45,Water + L,11.19,243.2,44.3,2.04,0
C8E6,90,0.5,Water + L,11.19,243.2,44.3,2.04,0
C8E6,90,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,90,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,90,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,90,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,90,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,90,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,90,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,90,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,90,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,90,1,L2,11.19,243.2,44.3,2.04,0
C8E6,95,0,Water + L,11.19,243.2,44.3,2.04,0
C8E6,95,0.05,Water + L,11.19,243.2,44.3,2.04,0
C8E6,95,0.1,Water + L,11.19,243.2,44.3,2.04,0
C8E6,95,0.15,Water + L,11.19,243.2,44.3,2.04,0
C8E6,95,0.2,Water + L,11.19,243.2,44.3,2.04,0
C8E6,95,0.25,Water + L,11.19,243.2,44.3,2.04,0
C8E6,95,0.3,Water + L,11.19,243.2,44.3,2.04,0
C8E6,95,0.35,Water + L,11.19,243.2,44.3,2.04,0
C8E6,95,0.4,Water + L,11.19,243.2,44.3,2.04,0
C8E6,95,0.45,Water + L,11.19,243.2,44.3,2.04,0
C8E6,95,0.5,Water + L,11.19,243.2,44.3,2.04,0
C8E6,95,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,95,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,95,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,95,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,95,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,95,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,95,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,95,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,95,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,95,1,L2,11.19,243.2,44.3,2.04,0
C8E6,100,0,Water + L,11.19,243.2,44.3,2.04,0
C8E6,100,0.05,Water + L,11.19,243.2,44.3,2.04,0
C8E6,100,0.1,Water + L,11.19,243.2,44.3,2.04,0
C8E6,100,0.15,Water + L,11.19,243.2,44.3,2.04,0
C8E6,100,0.2,Water + L,11.19,243.2,44.3,2.04,0
C8E6,100,0.25,Water + L,11.19,243.2,44.3,2.04,0
C8E6,100,0.3,Water + L,11.19,243.2,44.3,2.04,0
C8E6,100,0.35,Water + L,11.19,243.2,44.3,2.04,0
C8E6,100,0.4,Water + L,11.19,243.2,44.3,2.04,0
C8E6,100,0.45,Water + L,11.19,243.2,44.3,2.04,0
C8E6,100,0.5,Water + L,11.19,243.2,44.3,2.04,0
C8E6,100,0.55,Water + L,11.19,243.2,44.3,2.04,0
C8E6,100,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,100,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,100,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,100,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,100,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,100,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,100,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,100,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,100,1,L2,11.19,243.2,44.3,2.04,0
